128,401.bzip2,1.6119734187760533,0.009429,3.235995
128,429.mcf,2.4765493570469013,0.014145,4.172023
128,456.hmmer,1.005679239931849,0.037984,6.449916
128,458.sjeng,2.509686033961256,1.760857,5.728947
128,470.lbm,2.28747104,0.006876,0.567067
256,401.bzip2,1.6119666987760666,0.01047,3.240765
256,429.mcf,2.476440997047118,0.013059,4.05757
256,456.hmmer,1.0056823599318117,0.038264,6.460552
256,458.sjeng,2.5096948599999997,1.720842,5.580523
256,470.lbm,2.28747104,0.006876,0.567067
512,401.bzip2,1.6119807387760385,0.008683,3.232128
512,429.mcf,2.4764891970470213,0.034363,4.032228
512,456.hmmer,1.0056845999317847,0.034662,6.44447
512,458.sjeng,2.5096941739612233,1.691747,5.454703
512,470.lbm,2.28747104,0.006876,0.567067
1024,401.bzip2,1.6119611387760777,0.008577,3.225953
1024,429.mcf,2.4764183170471634,0.011525,3.972713
1024,456.hmmer,1.005663079932043,0.038882,5.611471
1024,458.sjeng,2.509689690941862,1.618115,5.180614
1024,470.lbm,2.28747104,0.006876,0.567067
