512,401.bzip2,1.6119607387760784,0.008587,3.239912
512,429.mcf,2.476368637047263,0.016063,3.967691
512,456.hmmer,1.0056566799321198,0.040077,4.903494
512,458.sjeng,2.5096634539613465,2.190362,5.557576
512,470.lbm,2.28747104,0.006876,0.567067
1204,470.lbm,2.28747104,0.006876,0.567067
1024,401.bzip2,1.6119706787760586,0.008183,3.220945
1024,429.mcf,2.476441577047117,0.032588,3.940647
1024,456.hmmer,1.0056548799321414,0.043135,4.909072
1024,458.sjeng,2.509717,1.871347,5.280317
1024,470.lbm,2.28747104,0.006876,0.567067
