2048,401.bzip2,1.6119772787760454,0.008317,3.221745
2048,429.mcf,2.476420797047158,0.034113,3.93756
2048,456.hmmer,1.0056533799321594,0.041669,4.908547
2048,458.sjeng,2.509668253961327,1.590185,5.065439
2048,470.lbm,2.28747104,0.006876,0.567067
512,401.bzip2,1.6119607387760784,0.008587,3.239912
512,429.mcf,2.476368637047263,0.016063,3.967691
512,456.hmmer,1.0056566799321198,0.040077,4.903494
512,458.sjeng,2.5096634539613465,2.190362,5.557576
512,470.lbm,2.28747104,0.006876,0.567067
1204,401.bzip2,1.0,0,0
1204,429.mcf,1.0,0,0
1204,456.hmmer,1.0,0,0
1204,458.sjeng,1.0,0,0
1204,470.lbm,2.28747104,0.006876,0.567067
