2048,401.bzip2,1.6119772787760454,0.010568,3.230882
2048,429.mcf,2.4757211170485576,0.016204,4.059245
2048,456.hmmer,1.0056551399321383,0.044442,5.090996
2048,458.sjeng,2.5097095939611616,1.602736,5.217743
2048,470.lbm,2.28747104,0.006876,0.567067
4096,401.bzip2,1.6119592187760816,0.008467,3.220835
4096,429.mcf,2.476082157047836,0.016833,4.000292
4096,456.hmmer,1.0056590599320914,0.045361,4.919741
4096,458.sjeng,2.509687773961249,1.589911,5.135146
4096,470.lbm,2.28747104,0.006876,0.567067
8192,401.bzip2,1.6119772787760454,0.008317,3.221745
8192,429.mcf,2.476420797047158,0.034113,3.93756
8192,456.hmmer,1.0056533799321594,0.041669,4.908547
8192,458.sjeng,2.509668253961327,1.590185,5.065439
8192,470.lbm,2.28747104,0.006876,0.567067
