2048,401.bzip2,1.6119727187760544,0.008767,3.23371
2048,429.mcf,2.4763232570473535,0.01788,4.020154
2048,456.hmmer,1.0056596199320846,0.035879,5.013129
2048,458.sjeng,2.5097053139611787,1.657303,5.249442
2048,470.lbm,2.28697098,0.011621,0.341255
4096,401.bzip2,1.6119795787760407,0.008787,3.232975
4096,429.mcf,2.4763558370472882,0.014911,3.972108
4096,456.hmmer,1.0056568799321175,0.047703,4.950523
4096,458.sjeng,2.5096836739612653,1.63081,5.151552
4096,470.lbm,2.28747104,0.006876,0.567067
8192,401.bzip2,1.6119772787760454,0.008317,3.221745
8192,429.mcf,2.476420797047158,0.034113,3.93756
8192,456.hmmer,1.0056533799321594,0.041669,4.908547
8192,458.sjeng,2.509668253961327,1.590185,5.065439
8192,470.lbm,2.28747104,0.006876,0.567067
